insee,LFI_votes,EELV_votes,RE_coal_votes,BE_coal_votes,LR_votes,FF_coal_votes,RN_votes,others_votes,median_income,unemployment_ratio,pop_0_14,pop_15_29,pop_30_44,pop_45_59,pop_60_74,pop_75_89,pop_90,Facebook_srca,Instagram_srca,LinkedIn_srca,SnapChat_srca,Twitter_srca,Twitch_srca,TikTok_srca,NewsPaper_srca,Sports News_srca,DailyMotion_srca,NewsMag_srca,Google News_srca,TV5MONDE_srca,WhatsApp_srca,Apple iMessage_srca,Signal_srca,Discord_srca,Telegram_srca,Youtube_srca,Spotify_srca,CanalPlus_srca,Netflix_srca,Apple Music_srca,Disney+_srca,Apple Video_srca,Molotov TV_srca,Pluto TV_srca
01004,13.62,4.79,12.43,10.84,6.49,5.85,34.54,11.459999999999999,6.864113082642213,3.5645102509688025,4.713076296315547,6.42350530689256,5.116373922854335,5.6274671113467605,2.9384434611554338,2.197899240592858,1.1177451810631585,-1.35411916224359,-0.08470137325336487,-0.22180561359884507,0.09676271828580596,-0.32112597767763523,0.16931569877039646,0.42687448858813487,-0.21561250513923183,-0.21872931690793024,-0.3331754014662642,-1.1159665866413977,-0.810023499269789,-4.3329688930087435,-0.04027781240421474,0.09337993781619998,-0.533689484488861,-0.3882126685119149,0.6926429540863794,0.7241919481656625,-0.4798399711154673,-0.6246410695837408,-0.3682691025072142,-0.6347060433078981,-0.24358283131123634,-1.33019032959143,-1.163177003789352,-0.19290218555813357
01008,6.59,4.19,11.98,11.68,5.99,5.39,43.11,11.09,8.334541739311645,1.7865232204032846,4.459330830624286,5.257417962133702,5.777041554983447,7.739436618908257,2.912234861979812,1.2751597759970696,0.3586142898268654,-1.7681272717133658,-1.7114259924090105,-0.4100792303088578,-1.1917102611602126,-0.4572945436312072,-0.7856194159301081,-1.2255480476474034,-0.373861326617053,-1.0475514758291233,-0.7217810072471321,-1.371671470798994,-1.9403669157726908,-4.3329688930087435,-1.2082405082069145,-1.8888506117343349,1.419742175745814,-0.024209437355274532,0.9119028261424666,-0.8665607612483126,-1.1290721830250814,0.5494820196148594,0.6388620605075428,-0.47517704928997195,-0.2852997078099406,0.975662101128392,-1.3526733684614864,1.3027970471694506
01014,13.69,1.83,10.85,12.88,6.9,5.98,38.74,9.120000000000001,7.101790128440074,2.8080599057000972,4.475730073986216,4.717371228072177,4.886712900639855,6.6069360286578664,3.55540394496713,2.4189472494739364,1.3037579879485373,-1.2815719767132767,-0.4695465547369634,-0.3407701526300684,0.8182926988732535,-1.1829496711207483,0.21067024125417214,0.6872969446356576,-0.8034427180311036,-0.722364420172673,-1.1321672231682582,-1.7304151761232613,-1.9403686068582333,-4.3329688930087435,0.23793483636979015,-1.9639607090527225,-0.9709531216599026,-0.8806959240906348,-0.124098375861424,-0.02205382794435421,-1.4456064227071876,-0.6635558141720899,-0.14104478968616377,0.5615681626732085,-1.7006082625785541,-1.092206815875366,-0.7231035330435112,-0.7206894262747264
01030,9.46,3.72,10.14,16.22,7.43,2.7,40.54,9.799999999999999,7.681722120186854,2.236513427467561,4.733795205502924,5.096889755101563,5.938992011802214,6.92669724237379,2.9472577081328457,1.5216808704555649,0.6647255029153987,-1.4582960622875014,-1.4306443308731178,0.7788009541000313,0.7153237572169514,-0.5738832702018476,0.2542808226646423,0.23148327445070407,-1.8404931888513543,0.2531035303251481,0.6142925231619009,0.5909334022565046,-1.9403418009815963,-4.3329688930087435,-0.6591132862091453,-1.9639506999427185,-1.2803429343312362,1.094666477650962,-0.2844607386879667,-0.13990074167965455,-0.48005969437327406,-0.7489235483178979,-0.42795258452201784,1.276970358221292,-0.5825618241706245,-1.2278014231366485,-1.7594362913375994,-2.022878684280524
01031,15.06,3.62,7.13,12.57,6.68,6.23,38.84,9.85,6.512351054861379,3.3882354942527013,4.467067181912672,6.389126709345671,4.815609564501921,5.704749327834625,3.2892850496290906,2.379995428514536,0.6484106292974667,-1.3459830699569262,-0.6275991385708274,0.20794236690312382,1.4335173269247556,-0.5848816748145025,0.008601151201309403,1.0191246845072686,-1.0325190351341929,1.0417049606800053,-0.6123434833900736,-1.5077789350455888,-1.9403660973755565,-4.3329688930087435,0.7264931103030349,-1.338655401818696,-1.6842679636666982,0.0980439143788893,-0.332365242246268,1.1955155436653282,-1.346729780662275,-0.8706975145716129,-1.7812246396090776,-1.6198757883189328,-0.5436924920139486,-1.370607625996062,-1.9319318871484379,-1.58979763303562
01033,15.36,4.54,10.7,10.68,5.12,7.18,34.68,11.76,7.535946865430833,4.0475491493673115,5.010475667880192,5.314429832405754,5.726761109727663,6.385800438426551,2.7377612676750687,1.9520456349520654,0.8702878334152709,-1.101567340292658,0.05682717676640204,0.21732648195419707,1.0297778377579712,0.8132501805466479,-0.5664832296385868,0.40919749236106395,-0.9603606767368831,-1.0127830612589892,-1.0842954487535548,-1.0071920402723766,-1.578470615321142,3.7664708490107253,1.187727592954738,-1.9639612345363686,-0.7289419266089646,0.7771567709898504,0.6482425364153188,0.5051369076421091,0.34489906970725925,-0.34852072742887863,-0.5779786566637287,0.173101743889841,0.12349178308511154,-0.2150981331866309,-0.9703501528253908,-1.163245503858199
01034,10.42,4.41,12.08,14.09,7.37,6.48,34.45,10.68,6.711999773331582,3.0371226584143693,4.1611579956788125,5.013660741707079,4.397601524715823,6.026320453371702,3.5598040692919386,3.163716855268254,2.3913205792276426,-0.03590162802228717,0.020127132000855006,0.03480963475613667,0.1564011763729087,-0.964389008386401,-0.0380299936243637,0.651185485518614,-1.1355919319551708,-0.36456749118717835,0.5156805014051217,-0.8592388503660887,0.8433831757832277,-4.3329688930087435,0.20521646047018413,-1.801636627329173,-1.3310185902360543,0.17582864171757537,0.16090745320102004,0.07235960476789466,-0.6151958341894995,-0.5517442986349939,-0.0851524989873463,-0.02593866592055792,-0.9732492919974353,-0.8993056750907421,-1.8513350185448405,-2.1417176726061284
01041,9.61,5.71,10.21,9.01,5.11,5.71,38.44,16.21,7.970103602421591,2.502849640838017,4.461418117262502,4.770170734905557,5.252342868197105,7.581499644650238,2.9303642598516793,2.094248433303858,1.2107012091161067,-0.22244187339658147,-0.5000687173442742,-0.2117076579517833,-0.24470704512600308,-0.4494483914108003,0.46754473052329654,0.11333199380144098,-0.3964506430500519,-0.5843629722784506,-0.11404285087165676,-1.0662754774200165,-1.9403635953813203,-4.3329688930087435,-0.10503894764437542,-1.2029002803705267,-0.013222206858308222,-1.0828961254190343,0.5203361012254879,0.4799483502364841,-0.5893891400727961,-1.2440106609979622,-0.46359748486656016,-0.4650553611842516,0.44406729062111505,-0.8893715033216604,-0.9540619285999209,0.40284005370433773
01043,9.05,5.93,13.56,16.99,9.59,4.73,30.64,9.49,9.104615367696713,1.8121690888522122,4.851404318163555,4.713610349688621,5.010216462453953,7.280736824372711,2.976194652371428,2.319140272438458,0.6983157611882793,-2.2634289430021375,0.058574832077768126,0.7567997580509181,0.26647036690304887,0.1152941488708755,-1.5552556997603444,-0.512487534043863,-0.5902539658522225,0.6890584462131769,0.6068840371086118,1.2301525065445926,-1.9403672515215933,-4.3329688930087435,0.6215710829282095,0.23049018391866824,0.5010376409944056,0.24638847857116647,0.35107458922127793,-0.44188331280570126,0.4372123780521136,0.5569872581222673,-0.8783978648352271,0.16926843754931678,0.6187949018943913,0.969772250734075,-0.4686021451782591,-1.634409236382417
01049,8.88,4.25,12.29,13.35,7.51,5.08,38.24,10.39,8.486655048622275,2.221744101399898,5.420220087140039,4.666327641468949,5.666713368048478,6.689334326289166,2.7818822020081644,1.8924599954429961,0.6081580162065584,-2.1065474027940234,-1.0355440152848687,0.24345384114512253,0.2852962824322019,0.5986735984251933,-0.5634931466777702,-1.3837007294481272,-1.0138921917579888,0.5293955221018878,-0.3329824930803893,-0.49987843669034027,-1.9057540616597244,-4.332700009858584,0.03907675839517261,-1.8414479644127824,-1.528770692575933,0.09774245073833866,-0.13241035189793113,-0.9729982799219349,0.46729939316028773,-0.2994226594907235,1.3234945604200645,0.6470579635240481,0.4184710631175428,-1.221602714947239,-0.44898389559605106,0.0978248337440282
