insee,LFI_votes,EELV_votes,EdE_coal_votes,Ren_coal_votes,LR-LC_votes,RN_votes,others_votes,median_income,unemployment_ratio,pop_0_14,pop_15_29,pop_30_44,pop_45_59,pop_60_74,pop_75_89,pop_90,Facebook_srca,Instagram_srca,LinkedIn_srca,SnapChat_srca,Twitter_srca,Twitch_srca,NewsPaper_srca,Sports News_srca,DailyMotion_srca,NewsMag_srca,Google News_srca,TV5MONDE_srca,WhatsApp_srca,Apple iMessage_srca,Telegram_srca,Youtube_srca,Spotify_srca,CanalPlus_srca,Netflix_srca,Apple Music_srca,Apple Video_srca,Molotov TV_srca
01004,7.76,11.91,5.82,18.36,9.3,25.97,20.9,6.7866965323042665,3.6876145378677774,4.621283600246421,6.835007355898617,5.330696886115473,5.2395127403317,2.8671048267044115,2.0698108133874302,1.2638368134060163,-0.5995126362595021,1.2792666306355427,-0.16271742136879358,0.6321487092986245,-0.1681966023566453,0.3665542297779015,-0.479772746189194,0.33370471548834774,-0.11172508583539649,-0.17616491764488101,0.7054674897716097,-1.689571202908008,0.4250484650796882,0.22071368273818145,0.16643191477200658,-0.4965892193836883,-0.31611759797006667,-1.659164239630272,0.46274000624904954,0.025241745718169374,-1.1135073012374739,-0.5104638551950738
01008,5.47,16.72,6.75,17.36,8.68,23.79,21.2,8.421327486452636,1.7038245398485221,4.454938449036495,5.353467032365208,5.765855343447875,7.520255234949932,2.9464669037340583,1.2367766523102959,0.36696749921166966,-0.47801886533016585,0.36031451936935777,-0.2999909485186261,-0.3620500871459981,-0.20104798381958125,-0.09854720926873646,-0.3783952228961373,-0.4024600793113338,-0.9351769346298214,-0.4526987538510844,-0.2456957632250155,-1.622018956880697,0.1856358905826082,0.5111670457017148,0.09354171016226627,0.11495439094404075,-0.3904761033993322,-1.659164239630272,0.2054469079177254,-0.1768217432043476,-0.6482193445329126,-0.685908823188486
01014,6.81,11.78,4.62,21.13,10.85,26.79,18.0,7.10104863887126,3.3257093327904523,4.567904147816928,4.510529564208883,5.087891786236936,6.4241535041146145,4.007240330703095,1.772889523906781,1.2216635991419762,-0.43261369254729554,1.8254300495598912,0.4372311630030993,0.9728288654986649,-0.5529120799471864,-0.9684627533811141,-0.7467738287174174,2.0343099812549514,-0.09826102012499384,0.08790956735545599,0.45320834805885096,-2.05667935590728,1.031543596005613,-0.8977822870132003,-0.6326255992699804,-0.42882466015636816,0.36623950239130254,-0.42355902438909016,-1.510201418749409,0.5528469992427928,0.30278933057719576,0.38638714649883704
01030,2.05,15.57,3.28,19.67,15.98,29.92,13.530000000000001,7.607320978921262,2.123487166816772,4.920359674466891,5.188874388991555,5.99157525343361,6.6493445886538005,2.8794501976020945,1.4196681582695594,0.6624747139065904,-0.5013677215340208,-0.1143588316654232,1.5923012498165254,-0.03477527845185435,-1.4308360953763406,-0.20638069191097003,-0.00013041320272966618,0.902262726861651,-0.10400609194328608,0.8697968141798794,-0.8144457600546517,-0.7038724547178867,-0.13872318733890934,0.1767355035457806,0.37217739882943446,-0.6064885343350583,-0.33116726263979873,-1.659164239630272,-0.431288485186367,0.6521030319406733,-0.054517199132992133,-0.15575392269630842
01031,6.34,8.02,2.98,19.28,14.36,29.62,19.41,6.475653395280083,3.539279735411803,5.02310197061835,5.878856017155635,5.340024446331129,5.646080966784971,3.2472379904944573,1.7299629279358726,0.6771809180603665,-0.27203521348170057,1.8511197330341636,0.9082410608894468,1.105419131268805,-0.33416412384575006,0.6436153887838605,-0.8273708751277483,1.7158132867877935,-0.41552439945750747,-0.685506836316623,-0.34323108398420016,-1.2822566646946871,1.3282342537079055,-0.9440203829489787,0.26078896312288635,0.09412189276193554,-0.6627025022551744,-1.659164239630272,-0.14316049451179821,0.08324761676993919,-1.1571575802201148,-1.143234589091524
01033,6.49,13.71,5.15,19.95,9.09,26.27,19.35,7.425327654066686,3.9158588321626495,4.9511716807463575,5.613162407413925,5.642752720432478,6.239955949715792,2.7101672730366757,1.8457024576387804,1.0723914542060458,-1.4816742246392147,1.5550155247734299,-0.15927771343984667,1.1360615704813464,-0.1606614531559224,0.3614762168530948,-0.45130031691129135,-0.3462717097091405,0.2757254292666588,-0.610591824252236,-0.5803095658137971,-0.5759638264797259,1.3995659761331782,-0.6289046818339612,0.9990631225184471,0.9906083265270615,0.4579559533197598,-1.6422319800502596,0.22035150935152553,-0.2718588190005359,0.18849334147047606,-0.4146923712410501
01034,5.6,12.34,5.26,22.32,11.85,25.3,17.33,6.627865994249364,3.9898438154602704,4.467010482148756,5.12435049171813,4.705635373610606,6.063559789897553,3.1500273514348276,2.9337304888531035,2.3249717773140053,-0.6355633822894736,1.1935229634658004,-0.268806479143596,0.41305685580488505,0.23377441734343737,-0.04911654124391059,0.08711451052343148,-0.6167888644117329,-0.6878052886996814,-0.6844521201915496,-1.030191177523744,-1.4536371814027247,0.6261778203690682,-0.3430582483842268,1.5870622005199801,-0.6064916395995046,0.6899386537777545,-1.659164239630272,-0.3235815793108469,-0.7024382471346045,-1.4574375391927616,-1.2017238026291275
01041,6.73,15.71,3.85,14.74,7.05,29.81,22.110000000000007,7.547759527150673,2.3720446446450936,4.451406250891548,4.843498011562739,5.248389903583484,7.36976504004704,2.978951505154817,2.0443326700864675,1.2393604233523468,-0.615774443622026,0.7352575704522051,0.16723508685551805,-0.37119668541892914,-0.08373890888846487,0.6368173048626832,-0.2127130702124895,0.6937337978914063,-0.46210977275347614,0.07906271766438867,0.18682593317685234,-2.0170535524577984,0.5611760454777684,-1.1716641157163654,-0.2657545652220146,0.5640174282024547,-0.14503631037154607,-1.659164239630272,0.9884790442708347,0.5587509826855336,-0.13381635409420153,-0.38414972143109166
01043,3.17,17.43,6.72,27.11,10.27,19.1,16.19,9.268423689412115,1.7214336997643005,4.85685497495477,4.801559936282005,5.02088152737863,7.080822942432248,3.0002528129181765,2.245731755320242,0.7123856015866236,-2.075478057195092,0.1414239499417381,1.6597462203879765,-0.760736992508872,-0.08779918754833438,-0.474852755993095,1.343376632168513,1.3052369010480294,0.991159160966417,0.1379023862324991,-0.2919402378740307,-2.056600917594705,1.9390263619154002,0.7306430742547276,0.18573541165210433,0.3867133122196127,0.09796136178272019,-1.658175871215554,-0.30512601259456573,0.2691020349005393,0.13145474063552806,0.21053671990587064
01049,5.2,13.31,5.74,22.24,9.21,22.42,21.869999999999997,8.388237791024531,2.109457520618609,5.3521084952475375,4.736096914312038,5.642609823348937,6.518722319698147,2.845025714527479,1.865392376017556,0.6311939252511374,-2.705968482683156,0.6096757785470402,0.9013988522904154,-0.35492351133197236,0.6026931389169446,0.4274345841477009,0.08207551134778217,0.4117791406672454,0.10581679800700187,-0.9954322295420598,-0.22721857348320443,-2.0542489289874903,0.11447247523466905,0.9275181494151747,1.155437993172128,-0.3539551724914232,0.4696142574320868,-1.659164239630272,-0.11920055543643246,0.4147585631017535,-0.5152465698696763,-1.5777331717472407
01053,5.5,15.52,8.24,23.6,10.87,18.36,17.91,6.3830022480813895,4.071611681698348,3.9572788700671544,6.475023152913193,4.631952594730635,5.630489821112595,3.224466803299892,2.7990765068680807,1.8937369556424806,-1.499759037975941,1.973205740951391,0.6218137509847885,1.2916866412601369,0.0834645184333656,0.0020800262217706735,0.07450907525521905,0.527509402414392,0.5712326769223092,-0.39859155066262275,-0.44599966421798376,-1.7698553452494665,1.1403571231870555,0.016162503577406433,-0.005631337662350908,-0.5070032527704411,-0.27026350000122384,-1.2805296373255775,0.05586622031219896,0.35106509763220284,0.1362438639940481,-0.6558598057783951
01062,0.86,18.05,6.88,22.64,13.18,18.62,19.769999999999996,9.195626359470285,1.8283221189904089,5.248817706713873,5.051430325120777,5.735215824701941,6.595032829153351,2.909049705389878,1.5804498960596522,0.19536090650090934,-0.22835735921135467,0.6506912933253927,0.9641807796999287,-0.3426140962813057,0.6312668719060835,-1.8378763112736147,-0.22581117586846253,-0.2226681270188887,0.19166866893182244,-1.4465130980263305,-1.0908658581463662,1.8169868706600765,0.2980045002393297,0.390536008776038,-1.8487421629803749,-0.7807132843196264,0.06004401092871373,-1.659164239630272,-0.025395977431937135,0.8177141423348849,-0.4886131414829166,-0.7687944783910536
01063,2.66,8.51,6.38,21.81,22.34,25.53,12.76,8.249261070226492,2.3484531383482636,4.216439393331432,3.8209610890116488,5.1602270908209045,5.787329407993853,4.970134328177584,2.1187701511556645,0.5781329059717971,-0.009367682587847467,1.298911227744748,0.843950749855046,-0.023770908904103157,0.1180718893586478,0.5647200018929849,-0.22781298237540226,1.3348773332470274,0.6157880135268262,-1.2257952860108006,0.05121324577332102,-2.0562674079206107,0.9644439460440823,-0.9118341189212114,0.12380760938194194,-0.11996353952619276,0.7144754387359852,-0.5454761692874842,-0.3834600621473474,0.1951674863231038,-0.3611946851885318,-1.948161343142278
