,party_id,party_name_short,party_name,party_name_english,left_right,vote_share,seats
3944,270,FN,Rassemblement National ,National Rally,9.6854,23.34,22.0
3945,2643,REM|R,La République En Marche! | Renaissance,The Republic Onwards! | Renaissance,6.0,22.42,21.0
3946,873,V,Les Verts,Greens,3.155,13.48,12.0
3947,658,UMP|LR,Union pour un mouvement populaire | Les Républicains,Union for a Popular Movement | The Republicans,7.4997,8.48,8.0
3948,2644,FI,La France Insoumise,Unbowed France,1.3,6.31,6.0
3949,1539,PS,Parti socialiste,Socialist Party,3.2493,6.19,5.0
